exp_id,csv_filename,total_time_sec,final_student_acc,num_classes,batch_size,ce_alpha,kd_alpha,use_ib,ib_beta,ib_epochs_per_stage,use_cccp,optimizer,student_lr,student_weight_decay,student_ep10_acc,student_ep10_loss,student_ep1_acc,student_ep1_loss,student_ep2_acc,student_ep2_loss,student_ep3_acc,student_ep3_loss,student_ep4_acc,student_ep4_loss,student_ep5_acc,student_ep5_loss,student_ep6_acc,student_ep6_loss,student_ep7_acc,student_ep7_loss,student_ep8_acc,student_ep8_loss,student_ep9_acc,student_ep9_loss,student_epochs_per_stage,student_epochs_schedule,teacher_ep6_loss,teacher_ep6_synAcc
L4_full,summary.csv,5081.80,66.24,100,,0.65,0.35,1,0.00,6,1,adamw,0.00,0.00,66.24,0.07,65.02,0.09,64.20,0.08,65.54,0.08,65.55,0.08,66.18,0.08,66.03,0.07,65.70,0.07,66.07,0.07,65.77,0.07,"[10, 10, 10, 10]","[10, 10, 10, 10]",0.42,86.66
L4_full,summary.csv,4436.37,66.23,100,,0.65,0.35,1,0.00,6,1,adamw,0.00,0.00,65.68,0.91,64.69,0.77,64.45,0.78,64.78,0.80,65.59,0.82,65.24,0.83,65.61,0.85,65.90,0.86,66.23,0.88,65.76,0.90,"[10, 10, 10, 10]","[10, 10, 10, 10]",0.14,87.37
L4_full,summary.csv,1547.61,0.00,100,,0.65,0.35,1,0.00,6,1,adamw,0.00,0.00,20.68,2.91,2.76,3.04,4.96,2.96,6.70,2.95,9.76,2.95,12.85,2.94,14.67,2.94,16.85,2.90,19.00,2.92,19.82,2.90,"[10, 0, 0, 0]","[10, 0, 0, 0]",0.83,87.91
L4_full,summary.csv,1551.50,0.00,100,,0.65,0.35,1,0.00,6,1,adamw,0.00,0.00,37.45,2.25,6.59,2.93,9.46,2.76,15.23,2.67,21.57,2.58,25.27,2.47,29.30,2.41,34.34,2.33,35.75,2.28,37.35,2.26,"[10, 0, 0, 0]","[10, 0, 0, 0]",0.87,87.65
L4_full,summary.csv,1566.04,0.00,100,,0.65,0.35,1,0.00,6,1,adamw,0.00,0.00,38.03,2.24,5.61,2.95,11.39,2.77,16.29,2.67,21.99,2.57,25.53,2.47,29.79,2.40,34.35,2.32,36.18,2.27,36.76,2.24,"[10, 0, 0, 0]","[10, 0, 0, 0]",0.94,86.60
L4_full,summary.csv,1563.61,0.00,100,,0.65,0.35,1,0.00,6,1,adamw,0.00,0.00,49.93,1.70,11.39,2.83,18.99,2.52,23.37,2.30,31.42,2.14,38.28,2.01,41.29,1.91,45.61,1.82,48.57,1.76,49.54,1.71,"[10, 0, 0, 0]","[10, 0, 0, 0]",0.90,87.62
L4_full,summary.csv,1550.19,0.00,100,,0.65,0.35,1,0.00,6,1,adamw,0.00,0.00,43.45,2.10,10.25,2.90,16.47,2.66,21.23,2.53,25.84,2.43,30.87,2.33,35.17,2.26,37.68,2.20,40.46,2.14,42.26,2.11,"[10, 0, 0, 0]","[10, 0, 0, 0]",1.02,87.95
L4_full,summary.csv,1567.48,0.00,100,,0.65,0.35,1,0.00,6,1,adamw,0.00,0.00,37.08,2.38,5.68,2.94,9.11,2.82,13.94,2.75,20.46,2.66,25.49,2.58,27.40,2.52,33.41,2.45,34.81,2.41,35.69,2.38,"[10, 0, 0, 0]","[10, 0, 0, 0]",0.87,87.69
L4_full,summary.csv,1567.34,0.00,100,,0.65,0.35,1,0.00,6,1,adamw,0.00,0.00,38.32,2.33,6.82,2.94,11.51,2.79,16.46,2.71,21.34,2.62,27.09,2.53,30.76,2.47,36.05,2.39,35.69,2.35,37.84,2.33,"[10, 0, 0, 0]","[10, 0, 0, 0]",0.98,86.27
L4_full,summary.csv,1551.15,0.00,100,,0.65,0.35,1,0.00,6,1,adamw,0.00,0.00,47.72,1.75,9.09,2.84,17.23,2.55,22.21,2.36,28.19,2.21,35.47,2.08,37.89,1.97,44.31,1.89,46.15,1.81,47.52,1.77,"[10, 0, 0, 0]","[10, 0, 0, 0]",0.99,87.46
L4_full,summary.csv,8093.91,72.76,100,,0.65,0.35,1,0.00,6,1,adamw,0.00,0.00,71.92,1.19,72.32,1.15,71.78,1.16,71.81,1.18,71.70,1.17,72.76,1.18,72.75,1.16,72.11,1.18,71.96,1.21,72.32,1.20,70.25,1.11,71.70,1.21,71.58,1.09,71.93,1.09,71.30,1.15,71.32,1.12,70.68,1.10,72.04,1.09,72.46,1.14,72.40,1.16,"[20, 20, 20, 20]","[20, 20, 20, 20]",0.14,87.26
L4_full,summary.csv,7928.45,6.45,100,,0.65,0.35,1,0.00,6,1,adamw,0.00,0.00,6.15,20.00,5.90,20.00,6.11,20.00,6.33,20.00,6.33,20.00,6.22,20.00,6.45,20.00,6.26,20.00,6.40,20.00,6.33,20.00,5.92,20.00,6.32,20.00,5.60,20.00,5.70,20.00,5.69,20.00,5.56,20.00,6.23,20.00,6.22,20.00,6.07,20.00,6.21,20.00,"[20, 20, 20, 20]","[20, 20, 20, 20]",20.00,1.00
L4_full,summary.csv,7554.70,73.06,100,,0.65,0.35,1,0.00,6,1,adamw,0.00,0.00,72.58,1.21,72.67,1.17,73.00,1.18,72.83,1.20,73.06,1.19,73.03,1.20,72.82,1.19,72.83,1.20,73.01,1.23,72.50,1.22,72.09,1.13,73.04,1.24,71.72,1.11,72.13,1.11,71.97,1.17,71.83,1.14,72.39,1.12,71.92,1.11,72.79,1.16,72.79,1.18,"[20, 20, 20, 20]","[20, 20, 20, 20]",6.11,1.08
L4_full,summary.csv,7834.65,72.74,100,,0.65,0.35,1,0.00,6,1,adamw,0.00,0.00,71.52,0.00,0.11,0.79,0.00,1.18,72.39,0.00,0.10,0.77,0.00,1.14,72.29,0.00,0.10,0.81,0.00,1.15,72.35,0.00,0.09,0.80,0.00,1.17,72.22,0.00,0.09,0.82,0.00,1.16,72.74,0.00,0.07,0.84,0.00,1.17,71.56,0.00,0.07,0.84,0.00,1.16,72.23,0.00,0.06,0.84,0.00,1.17,71.28,0.00,0.04,0.85,0.00,1.20,72.17,0.00,0.04,0.83,0.00,1.19,71.69,0.00,0.20,0.69,0.00,1.11,72.55,0.00,0.03,0.88,0.00,1.21,71.41,0.00,0.24,0.66,0.00,1.08,71.15,0.00,0.22,0.68,0.00,1.08,71.45,0.00,0.17,0.68,0.00,1.14,70.40,0.00,0.18,0.72,0.00,1.11,72.06,0.00,0.19,0.71,0.00,1.09,71.13,0.00,0.19,0.75,0.00,1.09,72.00,0.00,0.14,0.77,0.00,1.13,71.42,0.00,0.14,0.74,0.00,1.15,"[20, 20, 20, 20]","[20, 20, 20, 20]",0.00,0.16,0.00,0.93,0.00,1.07,0.00,1.48,0.00,0.33,0.00,0.95,6.23,1.11
